unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1612764960,02/09/2021 06:16,BTC/USD,39038.05,39044.07,39038.05,39044.07,0.4523952,17663.34986
1612764900,02/09/2021 06:15,BTC/USD,39020.77,39067.18,39007.17,39031.26,6.00282625,234297.8721
1612764840,02/09/2021 06:14,BTC/USD,38985,39021.45,38985,39021.45,7.92961318,309425.0042
1612764780,02/09/2021 06:13,BTC/USD,38960,38974.68,38952.81,38973.01,8.48275717,330598.58
1612764720,02/09/2021 06:12,BTC/USD,38913.56,38960,38902.95,38960,7.66920025,298792.0417
1612764660,02/09/2021 06:11,BTC/USD,38890,38924.75,38890,38924.75,0.60442059,23526.92036
1612764600,02/09/2021 06:10,BTC/USD,38830.61,38864.15,38830.61,38864.15,1.15088433,44728.14123
1612764540,02/09/2021 06:09,BTC/USD,38836,38836,38835.08,38835.08,6.72546686,261184.0435
1612764480,02/09/2021 06:08,BTC/USD,38810.23,38839.9,38799.6,38839.9,6.80085493,264144.5254
1612764420,02/09/2021 06:07,BTC/USD,38769.73,38832.5,38769.73,38832.5,1.877199,72896.33017
1612764360,02/09/2021 06:06,BTC/USD,38720.71,38769.71,38720.71,38759.89,5.61544927,217654.196
1612764300,02/09/2021 06:05,BTC/USD,38767.07,38783.09,38730.62,38733.56,0.88944969,34451.55293
1612764240,02/09/2021 06:04,BTC/USD,38797.64,38800,38797.64,38800,0.1090004,4229.21552
1612764180,02/09/2021 06:03,BTC/USD,38745.77,38745.77,38745.77,38745.77,0.00765,296.4051405
1612764120,02/09/2021 06:02,BTC/USD,38696.63,38709.88,38696.63,38709.88,0.36582913,14161.20172
1612764060,02/09/2021 06:01,BTC/USD,38650.59,38650.59,38650.59,38650.59,0.16523754,6386.528411
1612764000,02/09/2021 06:00,BTC/USD,38717.1,38717.1,38717.1,38717.1,0.21724219,8410.987594
1612763940,02/09/2021 05:59,BTC/USD,38701.36,38736.13,38701.36,38701.67,8.30862158,321557.5305
1612763880,02/09/2021 05:58,BTC/USD,38702.66,38702.66,38661.84,38661.84,4.83826002,187056.0348
1612763820,02/09/2021 05:57,BTC/USD,38715.33,38725.06,38701.61,38701.61,0.74638693,28886.37587
1612763760,02/09/2021 05:56,BTC/USD,38713.84,38713.84,38713.84,38713.84,0.011148,431.5818883
1612763700,02/09/2021 05:55,BTC/USD,38683.38,38716.17,38683.38,38711.94,0.91770603,35526.18077
1612763640,02/09/2021 05:54,BTC/USD,38700,38700,38677.53,38677.53,0.9266056,35838.81589
1612763580,02/09/2021 05:53,BTC/USD,38729.03,38754.58,38729.01,38729.01,0.50886333,19707.773
1612763520,02/09/2021 05:52,BTC/USD,38731.68,38768.18,38728.63,38728.63,0.8445254,32707.31174
1612763460,02/09/2021 05:51,BTC/USD,38783.14,38783.14,38726.49,38726.49,5.62287418,217754.1807
1612763400,02/09/2021 05:50,BTC/USD,38792.78,38816.39,38773.34,38773.34,0.2354353,9128.612935
1612763340,02/09/2021 05:49,BTC/USD,38760.93,38797.43,38760.93,38797.43,0.34611035,13428.19208
1612763280,02/09/2021 05:48,BTC/USD,38831.07,38831.07,38755.96,38755.96,0.75060694,29090.49254
1612763220,02/09/2021 05:47,BTC/USD,38838.49,38850.69,38821.48,38821.48,1.4470792,56177.75622
1612763160,02/09/2021 05:46,BTC/USD,38876.83,38884.64,38846.36,38861.96,1.9810724,76988.35637
1612763100,02/09/2021 05:45,BTC/USD,38857.65,38881.64,38851.88,38881.64,1.26533421,49198.26923
1612763040,02/09/2021 05:44,BTC/USD,38879.61,38890,38857.65,38857.65,1.47744956,57410.2179
1612762980,02/09/2021 05:43,BTC/USD,38871.24,38890,38856.27,38880.6,8.8377366,343616.5016
1612762920,02/09/2021 05:42,BTC/USD,38814,38881.31,38804.3,38859.41,7.35086802,285650.3942
1612762860,02/09/2021 05:41,BTC/USD,38782.75,38806,38768.81,38806,1.59766971,61999.17077
1612762800,02/09/2021 05:40,BTC/USD,38734.04,38798,38734.04,38798,0.13381601,5191.793556
1612762740,02/09/2021 05:39,BTC/USD,38707.75,38723.94,38690.63,38723.94,0.29086688,11263.51161
1612762680,02/09/2021 05:38,BTC/USD,38735.66,38735.66,38726.8,38734.23,0.392899,15218.64023
1612762620,02/09/2021 05:37,BTC/USD,38717.66,38749.3,38717.66,38729.71,0.49998582,19364.30581
1612762560,02/09/2021 05:36,BTC/USD,38713.54,38735.8,38691.48,38735.8,3.05526173,118348.0073
1612762500,02/09/2021 05:35,BTC/USD,38675.93,38762.84,38675.93,38741.57,0.64442238,24965.93474
1612762440,02/09/2021 05:34,BTC/USD,38666.89,38688.12,38665.08,38675.93,1.26814907,49046.84466
1612762380,02/09/2021 05:33,BTC/USD,38701.09,38718.16,38667.25,38667.25,0.5968,23076.6148
1612762320,02/09/2021 05:32,BTC/USD,38683.81,38703.28,38681.88,38703.28,0.28111773,10880.17822
1612762260,02/09/2021 05:31,BTC/USD,38684.39,38697.55,38684.08,38694.25,0.70261752,27187.25797
1612762200,02/09/2021 05:30,BTC/USD,38684.17,38712.35,38668.64,38668.64,0.30883937,11942.39842
1612762140,02/09/2021 05:29,BTC/USD,38688.61,38692,38688.61,38692,0.796,30798.832
1612762080,02/09/2021 05:28,BTC/USD,38684.04,38688.76,38657.18,38675.27,1.74446371,67467.60499
1612762020,02/09/2021 05:27,BTC/USD,38674.44,38709.71,38674.44,38682.64,1.33117467,51493.35054
1612761960,02/09/2021 05:26,BTC/USD,38684.23,38684.23,38684.23,38684.23,0.435,16827.64005
1612761900,02/09/2021 05:25,BTC/USD,38741.67,38797.46,38721.94,38721.94,15.3977049,596229.0053
1612761840,02/09/2021 05:24,BTC/USD,38668.96,38731.07,38668.96,38731.07,1.09729002,42499.21657
1612761780,02/09/2021 05:23,BTC/USD,38648.05,38656.94,38631.84,38656.94,0.61891697,23925.43617
1612761720,02/09/2021 05:22,BTC/USD,38632.01,38669.66,38631.96,38669.66,0.4896317,18933.89136
1612761660,02/09/2021 05:21,BTC/USD,38639.92,38640.84,38604.7,38640.84,5.34164701,206405.7274
1612761600,02/09/2021 05:20,BTC/USD,38611.95,38611.95,38611.95,38611.95,0.26,10039.107
1612761540,02/09/2021 05:19,BTC/USD,38613.64,38616.82,38613.64,38616.82,0.193,7453.04626
1612761480,02/09/2021 05:18,BTC/USD,38612.59,38614.02,38612.03,38612.59,0.93894106,36254.94618
1612761420,02/09/2021 05:17,BTC/USD,38608.22,38612.16,38600.75,38600.75,0.41315,15947.89986
1612761360,02/09/2021 05:16,BTC/USD,38599.61,38631.45,38599.61,38631.45,1.31069,50633.8552
1612761300,02/09/2021 05:15,BTC/USD,38622.41,38625.52,38578.49,38578.49,1.98360716,76524.56899
1612761240,02/09/2021 05:14,BTC/USD,38612.31,38665.06,38612.31,38644.08,0.36,13911.8688
1612761180,02/09/2021 05:13,BTC/USD,38641.46,38646.87,38623.96,38623.96,0.70760859,27330.64588
1612761120,02/09/2021 05:12,BTC/USD,38633.75,38641.99,38633.75,38641.99,0.534,20634.82266
1612761060,02/09/2021 05:11,BTC/USD,38643.12,38681.01,38643.12,38681.01,0.205,7929.60705
1612761000,02/09/2021 05:10,BTC/USD,38704.33,38705.29,38704.33,38705.29,0.32057241,12407.8481
1612760940,02/09/2021 05:09,BTC/USD,38579.85,38684.31,38579.85,38684.31,0.80410578,31106.27727
1612760880,02/09/2021 05:08,BTC/USD,38568.82,38568.82,38568.82,38568.82,0.26,10027.8932
1612760820,02/09/2021 05:07,BTC/USD,38607.65,38609.81,38606.33,38609.81,0.59600678,23011.70853
1612760760,02/09/2021 05:06,BTC/USD,38689.3,38689.3,38630.82,38634.05,5.38255621,207949.9457
1612760700,02/09/2021 05:05,BTC/USD,38673.88,38734.78,38673.88,38700.4,2.60574763,100843.4756
1612760640,02/09/2021 05:04,BTC/USD,38539.24,38654.45,38537.68,38654.45,1.36713333,52845.78695
1612760580,02/09/2021 05:03,BTC/USD,38537.72,38540.47,38498.48,38498.48,0.70509592,27145.12117
1612760520,02/09/2021 05:02,BTC/USD,38619.8,38619.81,38569.57,38582.98,1.17,45142.0866
1612760460,02/09/2021 05:01,BTC/USD,38727.82,38727.83,38655.87,38655.87,3.04854898,117844.3131
1612760400,02/09/2021 05:00,BTC/USD,38632.88,38740.88,38632.88,38740.88,7.47483258,289581.592
1612760340,02/09/2021 04:59,BTC/USD,38597.84,38631.48,38597.84,38617.27,0.98379089,37991.31842
1612760280,02/09/2021 04:58,BTC/USD,38600.03,38600.43,38599.39,38600.1,0.24935409,9625.092809
1612760220,02/09/2021 04:57,BTC/USD,38604.84,38636.4,38596.82,38636.4,0.51957964,20074.6868
1612760160,02/09/2021 04:56,BTC/USD,38603.44,38604.84,38576.44,38604.84,0.96157185,37121.32742
1612760100,02/09/2021 04:55,BTC/USD,38608.26,38642.49,38608.25,38608.25,8.05441459,310966.8521
1612760040,02/09/2021 04:54,BTC/USD,38589.24,38648.75,38589.24,38648.75,0.63372816,24492.80122
1612759980,02/09/2021 04:53,BTC/USD,38596.48,38597.87,38596.48,38597.87,0.26621272,10275.24396
1612759920,02/09/2021 04:52,BTC/USD,38610.57,38610.57,38598.03,38603.37,1.269,48987.67653
1612759860,02/09/2021 04:51,BTC/USD,38640.4,38640.4,38596.49,38614.22,2.78660677,107602.6469
1612759800,02/09/2021 04:50,BTC/USD,38661.11,38681.06,38654.72,38664.16,0.78672123,30417.91551
1612759740,02/09/2021 04:49,BTC/USD,38610,38649.05,38609.99,38649.05,3.29707282,127428.7323
1612759680,02/09/2021 04:48,BTC/USD,38589.11,38610,38589.11,38598.6,2.86692946,110659.4635
1612759620,02/09/2021 04:47,BTC/USD,38592.24,38613.19,38564.01,38564.01,3.97551702,153311.8781
1612759560,02/09/2021 04:46,BTC/USD,38657.27,38657.27,38600.29,38600.29,0.17362299,6701.897765
1612759500,02/09/2021 04:45,BTC/USD,38651.29,38684.76,38651.29,38684.76,0.732,28317.24432
1612759440,02/09/2021 04:44,BTC/USD,38638.84,38658.83,38638.84,38658.83,0.20845677,8058.694834
1612759380,02/09/2021 04:43,BTC/USD,38608.47,38608.47,38608.47,38608.47,0.02,772.1694
1612759320,02/09/2021 04:42,BTC/USD,38603.99,38603.99,38603.99,38603.99,0.01292,498.7635508
1612759260,02/09/2021 04:41,BTC/USD,38632.85,38637.56,38620.89,38620.89,2.54309841,98216.72395
1612759200,02/09/2021 04:40,BTC/USD,38627.07,38652.13,38626.79,38634.25,2.5074181,96872.21773
1612759140,02/09/2021 04:39,BTC/USD,38654.81,38668.18,38633.92,38633.92,0.88406045,34154.7207
1612759080,02/09/2021 04:38,BTC/USD,38661.33,38687.05,38655.73,38655.73,0.30496098,11788.4893
1612759020,02/09/2021 04:37,BTC/USD,38665.29,38665.29,38661.54,38661.54,0.55505,21459.08778
1612758960,02/09/2021 04:36,BTC/USD,38664.86,38675.53,38619.46,38675.53,1.47347879,56987.57315
1612758900,02/09/2021 04:35,BTC/USD,38667.7,38695.24,38658.37,38668.35,5.26640786,203643.3024
1612758840,02/09/2021 04:34,BTC/USD,38630.55,38669.36,38627.83,38669.36,1.83549219,70977.30827
1612758780,02/09/2021 04:33,BTC/USD,38574.74,38670.1,38574.74,38656.09,11.33632042,438217.8224
1612758720,02/09/2021 04:32,BTC/USD,38607.66,38607.66,38552.92,38580.62,2.16880821,83673.9654
1612758660,02/09/2021 04:31,BTC/USD,38624.08,38629.5,38617.8,38617.8,3.2812185,126713.4398
1612758600,02/09/2021 04:30,BTC/USD,38642.97,38670.81,38622.86,38624.36,3.97852499,153667.9815
1612758540,02/09/2021 04:29,BTC/USD,38648.85,38670.52,38642.85,38642.85,3.35683246,129717.5732
1612758480,02/09/2021 04:28,BTC/USD,38603.36,38648.86,38603.36,38641.15,7.86695268,303988.0986
1612758420,02/09/2021 04:27,BTC/USD,38618.31,38618.31,38603.04,38603.04,0.46599237,17988.7221
1612758360,02/09/2021 04:26,BTC/USD,38581.21,38623.21,38581.2,38619.16,1.19487555,46145.09005
1612758300,02/09/2021 04:25,BTC/USD,38603.34,38604.35,38572.13,38572.13,1.6633133,64157.53684
1612758240,02/09/2021 04:24,BTC/USD,38577.62,38615.26,38577.62,38606.27,1.63875074,63266.05353
1612758180,02/09/2021 04:23,BTC/USD,38589.16,38609.3,38589.16,38604.32,2.02301645,78097.1744
1612758120,02/09/2021 04:22,BTC/USD,38591.18,38622.05,38570.56,38570.56,3.42369558,132053.8558
1612758060,02/09/2021 04:21,BTC/USD,38549.51,38576.23,38549.51,38573.59,4.14944143,160058.8524
1612758000,02/09/2021 04:20,BTC/USD,38532.94,38560.29,38511.17,38537.39,6.7102866,258596.9317
1612757940,02/09/2021 04:19,BTC/USD,38521.8,38543.98,38518.56,38541.26,1.396185,53810.72909
1612757880,02/09/2021 04:18,BTC/USD,38559.21,38571.73,38509.62,38531.67,2.27307677,87585.44399
1612757820,02/09/2021 04:17,BTC/USD,38601,38602.54,38579.5,38579.5,6.47043007,249625.9569
1612757760,02/09/2021 04:16,BTC/USD,38509.65,38584.55,38509.65,38576.61,7.50899308,289671.4975
1612757700,02/09/2021 04:15,BTC/USD,38441.99,38510.06,38441.99,38510.06,2.88885695,111250.0545
1612757640,02/09/2021 04:14,BTC/USD,38442.77,38457.41,38406.68,38434.44,4.99633273,192031.2505
1612757580,02/09/2021 04:13,BTC/USD,38427.23,38432.27,38423.47,38432.27,0.90903379,34936.23206
1612757520,02/09/2021 04:12,BTC/USD,38417.04,38438.89,38415.09,38438.89,2.40377612,92398.48586
